child,parent,exchange_id,n_total_fnn,n_measured_fnn,n_class_2or3,p_class_2or3,section_speed_threshold_average,log_p_value,cni_present,n_unique_cni,cni_ids,cni_re_report_counts,cni_toms_initiation_ts,truck_roll_count_3m,truck_roll_count_6m,truck_roll_count_12m,truck_roll_count_24m,nbn_rfs_3m_count,nbn_rfs_6m_count,nbn_rfs_12m_count,nbn_rfs_24m_count,nbn_rfs_more_than_24m_count,nbn_rfs_already_passed_count,ccp_flag
Cable:16137035;16140191,Cable:16137169,PEIN,1,1,0,0.3114943,1.2053176,-0.2790474,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16137037,Cable:16137031,PEIN,1,1,0,0.3114943,1.1977178,-0.2790474,0,0,[],[],[],1,1,1,1,1,0,0,0,0,0,b
Cable:16137039;16140193,Cable:16136867,PEIN,1,1,0,0.3114943,1.1341928,-0.2790474,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16137040;16137042,Cable:16136953,PEIN,8,5,0,0.3114943,1.2351165,-0.0489169,0,0,[],[],[],1,1,2,2,4,0,0,0,0,0,b
Cable:16137043;16139753,Cable:16137040;16137042,PEIN,1,1,0,0.3114943,1.2730776,-0.2790474,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16137044,Cable:16137040;16137042,PEIN,6,3,0,0.3114943,1.2451452,-0.1105381,0,0,[],[],[],1,1,2,2,2,0,0,0,0,0,b
Cable:16137045,Cable:16137044,PEIN,2,0,0,0.3114943,NULL,0,0,0,[],[],[],0,0,1,1,0,0,0,0,0,0,b
Cable:16137046,Cable:16136952;16137041,PEIN,11,7,2,0.3114943,0.9759322,-0.3211765,0,0,[],[],[],0,0,0,1,6,0,0,0,0,0,b
Cable:16137047;16139769,Cable:16136886,PEIN,1,1,1,0.3114943,0.6176866,-1.0130999,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16137049,Cable:16137050,PEIN,1,1,1,0.3114943,0.2268833,-1.0130999,0,0,[],[],[],0,0,0,0,0,0,0,0,0,0,b
Cable:16137050,Cable:16137046,PEIN,4,2,1,0.3114943,0.7167135,-0.6370686,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16137051;16139296;31016513,Cable:16137050,PEIN,1,0,0,0.3114943,NULL,0,0,0,[],[],[],0,0,0,0,0,0,0,0,0,0,b
Cable:16137052,Cable:16137050,PEIN,1,0,0,0.3114943,NULL,0,0,0,[],[],[],0,0,0,0,0,0,0,0,0,0,b
Cable:16137053;16137055;16139759,Cable:16136952;16137041,PEIN,1,1,0,0.3114943,1.3584888,-0.2790474,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16137057;16137058;16139761,Cable:16136952;16137041,PEIN,1,0,0,0.3114943,NULL,0,0,0,[],[],[],0,0,0,0,0,0,0,0,0,0,b
Cable:16137059,Cable:16137068,PEIN,1,0,0,0.3114943,NULL,0,0,0,[],[],[],0,0,0,0,0,0,0,0,0,0,b
